year,country,min_temp,max_temp,min_prec,max_prec
2025,Afghanistan,-14.18,36.71,237.25,483.44
2025,Albania,-7.34,32.9,985.12,1545.7
2025,Algeria,2.02,45.27,40.26,102.63
2025,American Samoa (U.S.),24.32,29.4,2017.73,2840.73
2025,Andorra,-13.5,26.48,826.96,1192.57
2025,Angola,10.87,35.23,949.28,1275.57
2025,Anguilla (U.K.),23.19,29.14,607.64,1136.76
2025,Antigua and Barbuda,23.35,29.14,624.69,1108.96
2025,Arab Republic of Egypt,4.51,42.88,5.64,33.91
2025,Argentina,-4.11,35.26,605.53,978.39
2025,Armenia,-17.52,30.0,715.58,1003.18
2025,Aruba (Neth.),24.78,29.65,469.73,845.9
2025,Australia,5.0,41.85,289.69,638.15
2025,Austria,-15.12,29.85,1042.2,1451.65
2025,Azerbaijan,-9.68,35.46,508.02,740.55
2025,Bahrain,12.66,37.82,24.61,126.99
2025,Bangladesh,10.79,37.15,1811.83,2811.6
2025,Barbados,24.16,29.15,863.61,1257.09
2025,Belarus,-19.65,32.58,628.43,891.43
2025,Belgium,-7.08,31.42,758.01,1052.78
2025,Belize,16.23,35.12,1227.81,1922.34
2025,Benin,17.62,39.76,1002.65,1345.42
2025,Bermuda (U.K.),12.83,28.66,1189.45,1604.65
2025,Bhutan,-6.99,22.24,2784.13,3771.19
2025,Bolivia,5.79,33.86,1223.46,1651.81
2025,"Bonaire, Sint Eustatius and Saba",24.69,29.54,595.18,1011.84
2025,Bosnia and Herzegovina,-12.25,32.84,954.6,1463.98
2025,Botswana,2.73,39.4,305.3,549.47
2025,Bouvet Island (Nor.),-9.82,4.89,915.11,1065.2
2025,Brazil,15.59,36.79,1418.1,2028.55
2025,British Indian Ocean Territory (U.K.),24.59,29.34,1947.97,2821.09
2025,British Virgin Islands (U.K.),23.27,29.29,683.01,1167.98
2025,Brunei Darussalam,21.77,33.07,2760.65,3583.66
2025,Bulgaria,-11.11,34.29,605.29,939.33
2025,Burkina Faso,15.0,42.34,577.82,844.47
2025,Burundi,14.06,29.6,1856.19,2375.45
2025,Cabo Verde,18.86,28.34,87.31,256.53
2025,Cambodia,17.22,37.79,1513.43,2052.49
2025,Cameroon,16.4,36.14,1671.7,2065.21
2025,Canada,-35.93,26.59,574.22,783.33
2025,Cayman Islands (U.K.),22.15,30.34,809.08,1345.92
2025,Central African Republic,16.37,38.9,1343.4,1669.7
2025,Chad,9.87,43.16,282.89,459.93
2025,Chile,-4.18,23.67,1202.72,1669.02
2025,China,-19.35,30.75,691.11,1004.16
2025,China,6.22,29.83,2261.51,3467.73
2025,Christmas Island (Aus.),24.37,29.35,907.55,1668.47
2025,Cocos (Keeling) Islands (Aus.),24.04,28.94,1009.13,1916.76
2025,Colombia,18.34,32.85,3010.33,3781.49
2025,Comoros,20.96,29.24,999.21,1515.61
2025,Congo,18.19,34.21,1524.39,1875.65
2025,Cook Islands (N.Z.),20.74,28.54,1268.85,2155.42
2025,Costa Rica,18.0,30.26,2648.7,4039.19
2025,Croatia,-8.62,34.15,866.41,1343.4
2025,Cuba,15.43,33.69,799.76,1196.11
2025,Curaçao (Neth.),24.77,29.65,632.31,1065.79
2025,Cyprus,3.65,35.06,266.93,483.03
2025,Czech Republic,-12.98,32.65,663.93,956.65
2025,Côte d'Ivoire,17.75,36.95,1200.43,1534.63
2025,D. P. R. of Korea,-21.4,30.64,983.2,1500.87
2025,Democratic Republic of Congo,17.26,34.5,1687.08,2064.16
2025,Denmark,-6.26,26.58,691.01,916.56
2025,Djibouti,17.49,41.38,179.7,380.33
2025,Dominica,23.17,28.55,842.96,1327.49
2025,Dominican Republic,17.14,31.64,837.4,1340.86
2025,Ecuador,14.66,28.87,2709.34,3410.06
2025,El Salvador,16.54,35.26,1153.91,1880.53
2025,Equatorial Guinea,19.41,31.75,2772.71,3334.09
2025,Eritrea,15.53,39.83,277.49,560.43
2025,Estonia,-17.11,28.6,630.88,882.76
2025,Eswatini,5.06,36.1,671.59,1038.27
2025,Ethiopia,13.93,35.02,902.86,1317.45
2025,Faroe Islands (Den.),-2.24,13.87,997.23,1310.27
2025,Federated States of Micronesia,25.23,29.43,2627.27,3787.85
2025,Fiji,17.95,29.95,1654.24,2867.77
2025,Finland,-8.67,22.95,545.52,725.74
2025,Finland,-24.39,28.09,620.01,824.79
2025,France,-6.71,32.75,802.18,1137.94
2025,France,22.72,29.08,756.68,1215.1
2025,France,20.7,35.29,1385.94,2198.96
2025,France,22.15,29.48,801.01,1240.0
2025,France,23.53,29.48,823.94,1230.6
2025,France,13.29,26.84,1229.3,2129.79
2025,French Polynesia (Fr.),22.8,28.61,997.36,1702.51
2025,French Southern and Antarctic Lands (Fr.),-4.65,11.44,1627.62,1863.39
2025,Gabon,18.59,33.29,1906.45,2324.73
2025,Georgia,-14.34,30.62,1103.1,1496.97
2025,Germany,-10.23,32.46,756.34,1042.22
2025,Ghana,19.31,37.97,1040.29,1370.5
2025,Gibraltar (U.K.),9.0,29.74,449.61,999.98
2025,Greece,-3.5,34.06,592.24,957.57
2025,Greenland (Den.),-41.31,2.91,346.91,570.56
2025,Grenada,24.37,29.25,964.74,1428.1
2025,Guam (U.S.),25.04,29.48,1605.64,2474.01
2025,Guatemala,12.78,34.22,1506.58,2209.95
2025,Guernsey (U.K.),2.42,21.51,789.63,1084.98
2025,Guinea,15.99,38.51,1609.08,2078.17
2025,Guinea-Bissau,17.39,39.87,1152.76,1696.43
2025,Guyana,20.19,34.19,1367.73,2108.54
2025,Haiti,18.52,32.02,741.58,1199.79
2025,Heard Island and McDonald Islands (Aus.),-4.27,6.99,1128.21,1267.77
2025,Honduras,15.22,33.97,1264.54,1998.89
2025,"Hong Kong, SAR",6.74,33.1,1467.92,2179.46
2025,Hungary,-10.75,36.14,546.63,839.6
2025,Iceland,-14.9,15.48,1218.81,1594.66
2025,India,7.91,40.51,917.82,1599.16
2025,Indonesia,20.36,32.09,2593.93,3612.17
2025,Iraq,-0.32,47.64,125.41,319.79
2025,Ireland,-2.03,23.8,937.23,1209.81
2025,Islamic Republic of Iran,-5.89,41.21,179.89,399.04
2025,Isle of Man (U.K.),1.64,19.6,937.8,1221.77
2025,Israel,4.19,38.48,144.45,282.26
2025,Italy,-4.5,32.19,794.06,1225.53
2025,Jamaica,18.79,31.69,893.41,1397.16
2025,Japan,-6.92,30.97,1512.86,2057.91
2025,Jersey (U.K.),1.48,23.07,870.96,1194.22
2025,Jordan,-0.56,41.06,45.8,111.61
2025,Kazakhstan,-27.3,38.1,276.64,433.8
2025,Kenya,17.76,35.52,581.7,981.36
2025,Kiribati,24.57,29.16,574.38,2376.51
2025,Kosovo,-12.32,34.44,645.92,990.37
2025,Kuwait,3.59,48.85,55.93,230.88
2025,Kyrgyz Republic,-25.39,23.78,741.78,1090.05
2025,Lao People's Democratic Republic,8.84,35.23,1660.44,2325.2
2025,Latvia,-17.34,30.11,652.2,910.65
2025,Lebanon,-2.37,33.69,396.38,699.58
2025,Lesotho,-8.2,29.27,928.86,1249.17
2025,Liberia,19.52,33.58,2057.0,2650.49
2025,Libya,2.37,43.76,11.47,37.55
2025,Liechtenstein,-17.0,27.91,1684.51,2237.17
